keycodeid,keyword,ProductName,ProductCode
394424,Cable Jointing,Wire And Cable,10052
153890,3D Animation,Other Software,10065
151762,3D Laser Scanner,Scientific Equipment,1181
389875,3D Model,Other Software,10065
150553,3D Printer,Printers,10004
164137,3D Printing Machine,Printing Machinery,2044
96189,3D Scanner,Scientific Equipment,1181
262183,3D Software,Other Software,10065
141515,A C Sheet,Asbestos Products,5951
141524,A H U,Ventilation and Ventilator,10036
28073,A Scan,Other Medical Diagnosis Equipments,10083
102748,A Scan Biometer,Lab Equipment,657
141518,A T M,A T M,5296
20413,AAA Conductor,Conductor,110
23778,AAC Ant Conductor,Conductor,110
475625,Aadhaar Enrollment Kit,Surveillance System,3663
41062,AASC Conductor,Conductor,110
29493,AB cable,Wire And Cable,10052
190695,AB Conductor,Conductor,110
9935,AB switch,Switches/Plug,10050
12330,AB switch repair,Switches/Plug,10050
247178,Abacavir,Anti Viral - NRTI,10150
97569,Abacus,Playing Equipment,5761
157759,Abattoir,Building,130
263963,Abattoir Lease,Property Lease,1904
255825,Abattoir Repair,Building,130
46819,ABC Cable,Wire And Cable,10052
85602,ABC Conductor,Conductor,110
381409,Abdominal Bench,Multigym Equipment,1195
134894,Abdominal Binder,Disposable Medical - Surgical Items,10099
85791,Abdominal Board,Multigym Equipment,1195
148278,Abdominal Drain,Disposable Medical - Surgical Items,10099
109743,Abdominal Guard,Protection Kit,1275
32289,Abdominal Retractor,Disposable Medical - Surgical Items,10099
18118,Abdominal swab,Disposable Medical - Surgical Items,10099
113664,ABG Analyzer,Analyser,4997
96024,ABG Machine,Other Medical Diagnosis Equipments,10083
24825,Abrasion Tester,Testing Equipment,991
341,Abrasive,Grinder,4021
132618,Abrasive Belt,Grinder,4021
120971,Abrasive Cloth,Grinder,4021
79801,Abrasive Cut Off Machine,Cutting Machine,3869
89780,Abrasive Cutter,Cutting Machine,3869
54158,Abrasive Cutting Machine,Cutting Machine,3869
82963,Abrasive Disc,Grinder,4021
123092,Abrasive Paper,Paper Product,3988
141526,Abrasive Product,Grinder,4021
89957,Abrasive Wheel,Grinder,4021
705,Absolute Alcohol,Chemical,3840
125384,Absolute Encoder,Printers,10004
173861,Absolute Ethanol,Chemical,3840
142778,Absorbable Gelatin Sponge,Disposable Medical - Surgical Items,10099
231156,Absorbable Hemostatic,Disposable Medical - Surgical Items,10099
199568,Absorbant cotton,Disposable Medical - Surgical Items,10099
16910,Absorbent,Disposable Medical - Surgical Items,10099
166709,Absorbent Paper,Paper,1771
503598,Absorber Sheet,Rubber Product,802
157153,Absorption Chiller,Chilling Plant And Cold Storage,10030
116786,Absorption spectrometer,Spectrophotometer,4569
35542,Absorption Spectrophotometer,Spectrophotometer,4569
49588,ABT meter,Meter,638
163974,Abutment,Bridge,501
268550,Abutment Construction,Bridge,501
95224,Abutment Piece,Rail Accessories,5082
17371,abutment repair,Bridge,501
150604,Abutment Ring,Ring,5197
156138,AC Box,Diversified Electrical Spares And Stores,10059
102707,AC Coach Repair,Locomotive,5606
41876,AC Coil,Coil,4407
46848,AC Compressor,Compressor,1488
39907,AC Compressor Repair,Compressor,1488
488965,AC compressor spares,Compressor,1488
16312,AC Contactor,Diversified Electrical Spares And Stores,10059
79648,AC Control Panel,Control Panel,10042
14525,AC controller,Control Panel,10042
194138,AC DC Converter,Converter,96
135939,AC Drive,Diversified Electrical Spares And Stores,10059
38618,AC Duct,Duct,3878
100925,AC Duct Repair,Duct,3878
78264,AC Ducting,Duct,3878
12827,AC Fan,Fan and Blower,10035
58094,AC Motor Repair,Motor,660
60648,AC Panel Repair,Control Panel,10042
15426,AC pipe,Pipe,3308
33490,AC pipe line laying,Laying Pipe,411
85278,AC Pipe Repair,Laying Pipe,411
163515,AC Pipeline,Pipeline Project,987
44024,AC pipeline laying,Laying Pipe,411
163340,AC Pipeline Repair,Pipeline Project,987
261129,AC Pipeline Replacement,Pipes / Fittings,1968
100328,AC Power Supply,Electrical Work,1515
13827,AC Roof Sheet Repair,Roof Work,164
13711,AC sheet,Asbestos Products,5951
15149,AC Sheet Repair,Roof Work,164
267468,AC Sheet Replacement,Roof Work,164
59278,AC Sheet Roof,Roof Work,164
37985,AC Sheet Roof Repair,Roof Work,164
8910,AC Sheet roofing,Roof Work,164
14868,AC sheet roofing repair,Roof Work,164
262059,AC Sheet Roofing Replacement,Roof Work,164
108475,AC Stabilizer,Stabilizer,99
309724,AC Unit Hiring,Air Conditioners,10028
520885,AC Unit Spares,Air Conditioners,10028
25612,AC Wiring,Electrical Work,1515
126180,Academic Building,Building,130
250553,Acarbose Tab,Drug,427
227434,Acarbose Tablet,Antidiabetic- Type – 2,10165
13665,ACB,Circuit Breakers/Fuse,10049
12800,ACB panel,Control Panel,10042
79083,ACB Repair,Circuit Breakers/Fuse,10049
137182,ACB Spares,Circuit Breakers/Fuse,10049
49340,ACC Sheet,Asbestos Products,5951
25876,ACC Sheet Repair,Asbestos Products,5951
164988,ACC Sheet Roofing,Roof Work,164
58509,Accelerator,Vehicle,4925
52422,Accelerator Cable,Wire And Cable,10052
109641,Accelerator Pedal,Automobile Ancillaries,4688
137876,Accelerograph,Scientific Equipment,1181
18559,Accelerometer,Lab Equipment,657
124404,Access Card,Smart Card,10117
180051,Access Control service,Security Equipment,454
3750,Access control system,Surveillance System,3663
76094,Access Controller,Security Equipment,454
179772,Access Door,Door,3533
177294,Access Network,Networking,10008
131428,Access Node,Telecommunication Stores,10067
81962,Access Platform,Elevator,822
191006,Access Point,Telecommunication Stores,10067
37824,Access Switch,Switches/Plug,10050
6322,Accident insurance services,Insurance Service,10116
7324,Accommodation,Accommodation,2109
94055,Accommodation Building,Building,130
262272,Accommodation Construction,Building,130
13041,Accommodation Repair,Civil Work,43
30369,Account Book,Books And Magazines,1141
72804,Accountant Firm,Audit,2064
54018,Accounting machine,Other Software,10065
53288,Accounting Service,Audit,2064
4021,Accounting Software,Other Software,10065
4030,Accounting system,Other Software,10065
192921,Accoutrement,Leather,1396
14693,Accumulator,Accumulator,3594
92546,Accumulator Repair,Accumulator,3594
46551,Accumulator Scrap,Accumulator,3594
232311,Aceclofenac Gel,Drug,427
222901,Aceclofenac Injection,Non Steroidal AntiInflammatory Drug,10197
242769,Aceclofenac Oint,Drug,427
259801,Aceclofenac Paracetamol Bolus,Drug,427
269763,Aceclofenac Paracetamol Bolus Inj,Injection,3126
238226,Aceclofenac Paracetamol Tab,Drug,427
271894,Aceclofenac Plus Paracetamol Tab,Drug,427
144318,Acetaminophen,Drug,427
227284,Acetaminophen Capsule,Drug,427
247406,Acetaminophen Injection,Non Steroidal AntiInflammatory Drug,10197
227275,Acetaminophen Suppositories Tablet,Drug,427
241982,Acetaminophen Suspension,Drug,427
235568,Acetaminophen Tablet,Non Steroidal AntiInflammatory Drug,10197
193525,Acetate,Acid,3444
204870,Acetazolamide,Drug,427
230831,Acetazolamide Capsule,Drug,427
247407,Acetazolamide Injection,Antiepileptic,10168
1551,Acetic acid,Acid,3444
89059,Acetic Anhydride,Chemical,3840
240826,Acetomide Inj,Injection,3126
22085,Acetone,Paint,47
110728,Acetonitrile,Chemical,3840
185139,Acetylcysteine,Drug,427
1521,Acetylene,Chemical,3840
61356,Acetylene Cylinder,Cylinder,2839
17075,Acetylene gas,Gases,1439
56669,Acetylene Regulator,Taps And Dies,239
158477,Acetylene Tank,Tank,5540
92831,Acetylsalicylic Acid,Acid,3444
43355,Acetylsalicylic Acid Tablet,Non Steroidal AntiInflammatory Drug,10197
221476,Aciclovir,Drug,427
10470,Acid,Acid,3444
47189,Acid Battery,Battery and Cell,10048
141220,Acid Concentrate,Acid,3444
160291,Acid Plant,Chemical Machinery,10115
174626,Acid Pump,Pump,5
83049,Acid Scrap,Chemical scrap,10126
95307,Acid Slurry,Acid,3444
63787,Acid Tank,Tank,5540
142153,Acidic Silica,Chemical,3840
8856,Acidic Tar,Chemical,3840
157471,Acoustic Board,Fibre Glass,5402
44960,Acoustic Doppler Current Profiler,Scientific Equipment,1181
114442,Acoustic Emission System,Scientific Equipment,1181
156886,Acoustic Emission Testing,Testing Equipment,991
17314,Acoustic Enclosure,Metal Products,2637
93471,Acoustic Enclosure Repair,Metal Products,2637
59458,Acoustic Insulation,Insulation and Insulating Materials,10037
75058,Acoustic Panel,Wall,186
197892,Acoustic System,Audio/Video Equipments,10074
93277,Acoustic wall,Wall,186
154030,Acoustic work,Civil Work,43
185365,Acoustical Panel,Wooden Product,6145
247563,ACP Panel,Plastic Product,10097
56149,ACP Pipeline Laying,Laying Pipe,411
121189,ACP Sheet,Metal Sheet,711
64291,Acrylamide,Chemical,3840
1556,acrylic acid,Acid,3444
139147,Acrylic Box,Boxes,1283
132073,Acrylic Diffuser,Light and Bulb,10039
75095,Acrylic Distemper,Paint,47
257906,Acrylic Emulsion,Paint,47
1634,Acrylic Emulsion Paint,Paint,47
84003,Acrylic Glass,Acrylic Sheet,1672
100652,Acrylic Item,Acrylic Sheet,1672
40372,Acrylic Paint,Paint,47
316212,Acrylic Painting,Painting Work,2081
152925,Acrylic Plate,Plastic Product,10097
84736,Acrylic Resin,Resin,2423
91314,Acrylic Scrap,Acrylic Sheet,1672
53480,Acrylic Sheet,Acrylic Sheet,1672
295933,Acrylic Teeth Set,Dental Equipments and Stores,10081
11455,ACSR Conductor,Conductor,110
27737,ACSR Conductor repair,Conductor,110
76008,ACSR Moose Conductor,Conductor,110
14087,ACSR Panther conductor,Conductor,110
10503,ACSR Scrap,Conductor,110
69254,ACSR Weasel Conductor,Conductor,110
8904,ACSR wire,Wire And Cable,10052
36754,ACSR Zebra Conductor,Conductor,110
167550,ACT Machine,Other Medical Diagnosis Equipments,10083
267508,Activated Carbon,Carbon,5231
89048,Activated Charcoal,Coal,2087
232567,Activator Machine,Plant Machinery,255
168804,Actuarial Consultancy Service,Consultancy Service,1545
458948,Actuarial Service,Consultancy Service,1545
89774,Actuating Cylinder,Plant Machinery,255
10813,Actuator,Taps And Dies,239
290722,Actuator Push Button,Switches/Plug,10050
41933,Actuator Repair,Taps And Dies,239
33847,Actuator Scrap,Plant Machinery,255
143580,Actuator Seal Kit,Seal,786
91945,Actuator Spares,Taps And Dies,239
131889,Actuator Valve,Valve,7
155338,Acupuncture Needles,Disposable Medical - Surgical Items,10099
68300,Acyclovir,Drug,427
226622,Acyclovir Cream,Anti Viral - NRTI,10150
226621,Acyclovir Tablet,Anti Viral - NRTI,10150
247181,Adapalene,Anti Bacterial,10138
227411,Adapalene Gel,Anti Bacterial,10138
14197,adapter,Diversified Electrical Spares And Stores,10059
46818,Adapter Panel,Diversified Electrical Spares And Stores,10059
93099,Adapter Plate,Rail Accessories,5082
95471,Adapter Scrap,Scrap,1895
62052,Adapter Sleeve,Sleeve,3795
7702,Adaptor,Pipes / Fittings,1968
261106,Adaptor Assembly,Diversified Electrical Spares And Stores,10059
101492,Adaptor Plate,Diversified Electrical Spares And Stores,10059
74894,Adaptor Scrap,Scrap,1895
87833,Adding Machine,Office Equipments,6121
114169,Adding Machine Ribbon,Printers,10004
287086,Adding Machine Tape,Paper Product,3988
44499,Additive,Chemical,3840
287758,Address System,Audio/Video Equipments,10074
223830,Adenosine,Drug,427
227201,Adenosine Injection,Purine Neuclioside,10200
181255,ADF scanner,Scanners,10005
12195,Adhesive,Adhesive,205
160904,Adhesive Cement,Adhesive,205
25578,Adhesive Dressing,Adhesive,205
84244,Adhesive Film,Adhesive,205
21204,Adhesive item,Adhesive,205
65403,Adhesive Label,Adhesive,205
187325,Adhesive Material,Adhesive,205
18129,Adhesive plaster,Disposable Medical - Surgical Items,10099
83871,Adhesive Plaster Tape,Adhesive,205
23202,Adhesive Scrap,Adhesive,205
155423,Adhesive Sheet,Adhesive,205
105665,Adhesive sticker,Adhesive,205
120261,Adhesive Strip,Adhesive,205
175886,Adhesive Tile,Tiles,570
101578,Adhesive Tube,Adhesive,205
38553,Adjustable Spanner,Spanner,2989
30144,Adjustable Wrench,Wrenches,1591
66258,Adjuster,Rail Accessories,5082
620083,Adjuster Scrap,Scrap,1895
86905,Adjuster tube,Steel Tube,2647
24371,adjusting bolt,Bolts And Nuts,109
8703,Adjusting Piece,Fasteners,4883
94586,Adjusting Ring,Ring,5197
48119,Adjusting Screw,Screw,3603
166210,Adjusting Shim,Rail Accessories,5082
42669,Adjusting washer,Washer,625
55103,Administration Set,Disposable Medical - Surgical Items,10099
6748,Administrative service,Consultancy Service,1545
241002,Adobe Acrobat,Other Software,10065
241461,Adobe Photoshop,Other Software,10065
152110,Adobe Software,Other Software,10065
