companyrecno,Abbrevation,CompanyName
29,MbPT,Mumbai Port Trust
37,SMC,Surat Municipal Corporation
45,ADE,Aeronautical Development Establishment
70,NITIE,NITIE
72,GDA,Ghaziabad Development Authority
89,MCI,Medical Council Of India
128,MEDA,Maharashtra Energy Development Agency
166,"NLCIL
NLC India Limited",Neyveli Lignite Corporation Limited
258,"CPCL - Chennai Petroleum Corporation Limited
MRL",Madras Refineries Limited
303,APBCL,Andhra Pradesh Beverages Corporation Limited
305,MFL,Madras Fertilizers Limited
317,DTC,Delhi Transport Corporation
328,DSIIDC,Delhi State Industrial Development Corporation Limited
331,KNIT,Kamla Nehru Institute Of Technology
411,RDSO,Research Designs And Standards Organisation
448,KEPIP,Kinfra Export Promotion Industrial Parks Limited
466,CISH,Central Institute For Subtropical Horticulture
491,NSIT,Netaji Subhas Institute of Technology
552,,National Institute Of Agricultural Extension Management
619,MSAMB ,Maharashtra State Agriculture Marketing Board
673,"RESCO
KRECS",Kuppam Rural Electric Co-op Society Limited (The)
761,GUDA ,Gandhinagar Urban Development Authority
774,COC,Corporation Of Chennai
810,STQC,Standardisation Testing And Quality Certification Dirctorate
821,KSCDC,Kerala State Cashew Development Corporation Limited (The)
845,TTD,Tirumala Tirupati Devasthanams
882,"CRRI
CSIR",Central Road Research Institute
974,LEOS,Laboratory For Eleectro Optic Systems
992,EdCIL,Educational Consultants India Limited
1069,TAMIN,Tamil Nadu Minerals Limited
1086,DMRC,Delhi Metro Rail Corporation Limited
1090,GCF,Gun Carriage Factory
1091,CRECSCL,Cheepurupalli Rural Electric Co-operative Society Limited (The)
1118,HRBC,Hooghly River Bridge Commissioners
1122,OFB,Ordnance Cable Factory
1124,"GGSIPU
IPU",Guru Gobind Singh Indraprastha University
1125,KMC,Calcutta Municipal Corporation (The)
1150,DU,University Of Delhi
1155,HVF,Heavy Vehicles Factory
1166,CAPE,Co-operative Academy Of Professional Education Society
1223,IRCOT,Indian Railways Central Organisation For Telecom
1228,,Central Organisation Railway Electrification
1240,CIRT,Central Institute Of Road Transport
1261,ISTM,Institute Of Secretariat Training And Management
1283,TNMSC,Tamil Nadu Medical Services Corporation Limited
1293,APTS,Andhra Pradesh Technology Services Limited
1313,HCL,Haladia Petrochemicals Limited
1323,ICSI,Institute Of Company Secretaries Of India (The)
1332,CSL,Cochin Shipyard Limited
1354,ICAI,Institute Of Chartered Accountants Of India [ The]
1388,SLIET,Sant Longowal Institute Of Engineering And Technology
1411,PMC,Patna Municipal Corporation
1453,MCD,Municipal Corporation Of Delhi
1468,UNMICRC,U N Mehta Institute Of Cardiology And Research Centre
1484,ASRTU,Association Of State Road Transport Undertakings
1510,NCT,Government Of National Capital Territory Of New Delhi
