keycodeid,keyword,ProductCode,ProductName,synonymId,synonymkeyword
1,Agriculture Products,6178,Agricultural Equipment,NULL,NULL
4,Cereals,3337,Food Grain,NULL,NULL
5,Wheat,3337,Food Grain,NULL,NULL
8,Maize,3337,Food Grain,NULL,NULL
9,Rice,3337,Food Grain,2954,Rice
9,Rice,3337,Food Grain,2957,White Rice
10,Barley,3337,Food Grain,NULL,NULL
11,Bajra,3337,Food Grain,NULL,NULL
12,Jowar,3337,Food Grain,NULL,NULL
15,Malt,3337,Food Grain,NULL,NULL
20,Dal,3337,Food Grain,NULL,NULL
21,Masoor dal,3337,Food Grain,NULL,NULL
22,Moong,3337,Food Grain,NULL,NULL
24,Mung dal,3337,Food Grain,NULL,NULL
25,Moong dal,3337,Food Grain,NULL,NULL
26,Toor dal,3337,Food Grain,NULL,NULL
28,Urad dal,3337,Food Grain,NULL,NULL
31,Chana,3337,Food Grain,NULL,NULL
32,Chana dal,3337,Food Grain,NULL,NULL
35,Black gram,3337,Food Grain,NULL,NULL
38,Soya,3337,Food Grain,NULL,NULL
47,Mustard,3296,Food And Beverage Items,NULL,NULL
49,Sugar beet,4780,Vegetable ,NULL,NULL
50,Sugar cane,3426,Sugar,NULL,NULL
51,Straw,4932,Animal Feed,NULL,NULL
53,Hay,4932,Animal Feed,NULL,NULL
54,Baled hay,4932,Animal Feed,NULL,NULL
55,Forage,4932,Animal Feed,NULL,NULL
58,Cotton,2008,Cotton,NULL,NULL
59,Jute,2008,Cotton,NULL,NULL
67,Isabgol husk,3174,Ayurvedic Medicines,NULL,NULL
81,Peas,4780,Vegetable ,NULL,NULL
88,Asparagus,4780,Vegetable ,NULL,NULL
90,Lettuce,4780,Vegetable ,NULL,NULL
93,Spinach,4780,Vegetable ,NULL,NULL
94,Cabbage,4780,Vegetable ,NULL,NULL
95,Cauliflower,4780,Vegetable ,NULL,NULL
96,Broccoli,4780,Vegetable ,NULL,NULL
99,grass,4932,Animal Feed,NULL,NULL
114,Tamarind,4780,Vegetable ,NULL,NULL
120,Mango pulp,4781,Fruit,NULL,NULL
129,Citrus fruit,4781,Fruit,NULL,NULL
150,Grapes,4781,Fruit,NULL,NULL
157,Coffee beans,6073,Coffee,NULL,NULL
160,Animal,4952,Animals,NULL,NULL
165,heifer,4952,Animals,NULL,NULL
166,Cow milk,3423,Milk Product,NULL,NULL
168,Livestock,4952,Animals,NULL,NULL
169,Sheep,4952,Animals,NULL,NULL
171,fowl,4952,Animals,NULL,NULL
182,Agriculture supplies,6178,Agricultural Equipment,NULL,NULL
183,Wood,2646,Wood,NULL,NULL
186,Fuel wood,2646,Wood,NULL,NULL
188,Softwood,2646,Wood,NULL,NULL
189,Wood waste,1915,Wooden Scrap,NULL,NULL
194,Timber,2646,Wood,NULL,NULL
199,Cork,2646,Wood,NULL,NULL
206,Tendu leaves,2420,Tree And Shrubs,NULL,NULL
210,Bay leaf,10125,Pulse & spices,NULL,NULL
235,Shellfish,3428,Fish And Sea Food Item,NULL,NULL
240,Seaweeds,6201,Seed,NULL,NULL
242,Fish meal,3428,Fish And Sea Food Item,NULL,NULL
243,Coal,2087,Coal,NULL,NULL
246,Solid Fuel,5187,Lubricant Product,NULL,NULL
249,Lignite,2087,Coal,NULL,NULL
250,Peat,5868,Fertilizer Product,NULL,NULL
255,Natural Gas,1439,Gases,NULL,NULL
256,Bituminous,2310,Bitumen,NULL,NULL
261,Iron Ore,5450,Iron Ore,NULL,NULL
272,Marble,4547,Granite,2997,Marble
274,Building stones,525,Stone,NULL,NULL
275,Granite,4547,Granite,NULL,NULL
277,Basalt,525,Stone,NULL,NULL
280,Kota stone,525,Stone,NULL,NULL
281,Gypsum,525,Stone,NULL,NULL
282,Lime,525,Stone,NULL,NULL
284,Limestone,525,Stone,NULL,NULL
286,Chalk,5921,Stationery,NULL,NULL
288,Slate,5921,Stationery,NULL,NULL
289,Sand,1129,Sand,NULL,NULL
293,Stone powder,525,Stone,NULL,NULL
296,Gravel,1129,Sand,NULL,NULL
297,Bajri,859,Building Material,NULL,NULL
298,Grit,525,Stone,NULL,NULL
299,Rubble stone,525,Stone,NULL,NULL
302,Crushed stone,525,Stone,NULL,NULL
303,Ballast,725,Ballast,NULL,NULL
306,Soil,1129,Sand,NULL,NULL
310,Macadam,518,Road,NULL,NULL
313,Clay,1129,Sand,NULL,NULL
314,Kaolin,1129,Sand,NULL,NULL
322,Rock Salt,4169,Salt,NULL,NULL
323,Sea Salt,4169,Salt,NULL,NULL
