,0
0,on
1,had
2,from
3,o
4,it's
5,both
6,most
7,should
8,wasn't
9,this
10,should've
11,itself
12,for
13,isn't
14,where
15,own
16,t
17,an
18,will
19,ours
20,i
21,than
22,aren't
23,between
24,mightn
25,haven't
26,himself
27,all
28,mustn't
29,being
30,because
31,too
32,shouldn
33,these
34,did
35,she
36,theirs
37,ll
38,shouldn't
39,couldn
40,you'll
41,mustn
42,hasn't
43,other
44,you
45,here
46,won't
47,why
48,does
49,were
50,at
51,have
52,it
53,aren
54,wasn
55,weren
56,ve
57,no
58,was
59,shan
60,some
61,any
62,nor
63,doesn
64,while
65,hers
66,of
67,s
68,into
69,needn't
70,each
71,hasn
72,more
73,doing
74,been
75,until
76,has
77,his
78,just
79,few
80,we
81,am
82,so
83,below
84,which
85,after
86,against
87,hadn't
88,whom
89,when
90,in
91,m
92,but
93,under
94,hadn
95,the
96,that
97,weren't
98,above
99,same
100,about
101,very
102,yours
103,isn
104,those
105,her
106,can
107,ain
108,wouldn
109,that'll
110,yourself
111,our
112,yourselves
113,herself
114,needn
115,re
116,do
117,is
118,my
119,d
120,didn't
121,you'd
122,him
123,are
124,doesn't
125,mightn't
126,won
127,don
128,ma
129,over
130,once
131,now
132,only
133,y
134,before
135,haven
136,having
137,again
138,through
139,wouldn't
140,further
141,with
142,be
143,she's
144,to
145,you're
146,not
147,or
148,such
149,off
150,couldn't
151,how
152,shan't
153,by
154,a
155,me
156,what
157,your
158,its
159,as
160,they
161,who
162,didn
163,during
164,out
165,he
166,up
167,and
168,if
169,their
170,down
171,then
172,themselves
173,them
174,myself
175,ourselves
176,you've
177,there
178,don't
